,MAPE,MAE,MAD_ratio,r2_score,MSLE,Median Absolute Error,MSE
Null,0.8052693039244664,78.55573516343233,0.0,0.0,0.4958395063803054,61.89263765207576,13940.765345269056
OLS (Linear),0.6453609994498701,72.18386876959124,0.6623722855462792,0.06850741892715428,0.4335030872330056,48.203455318522295,12985.719493595554
OLS (Log),0.4512752615258362,61.614727652823525,0.5711622987259765,0.11816067755286197,0.291150659374325,33.240010638363756,12293.515066466605
OLS (Sqrt),0.5212490047790349,64.78850006610216,0.5972912254428446,0.12474971960975267,0.32375384945882557,38.83917419156903,12201.658777301383
LASSO (Linear),0.645359514985311,72.1838146867491,0.6623752131737218,0.06850899287630141,0.4335040663062703,48.2039703637282,12985.697551539828
LASSO (Log),0.45114942919946266,61.604171576499716,0.5716229268154599,0.11846890354233175,0.2910325538866568,33.22558898674096,12289.218160274095
LASSO (Sqrt),0.5212140468720735,64.78644063479211,0.5973652494958726,0.12479859173025876,0.32373703621664557,38.843246278618444,12200.977462537483
kNN (Linear),0.5398022995164553,65.41853442869684,0.686827014103283,0.1072570495652001,0.3245455868905331,37.275000000000006,12445.519985654708
kNN (Log),0.4492511737495444,60.90785508304583,0.6191417148252534,0.14221298975553398,0.29271962664043955,31.949410229958836,11958.207426038005
kNN (Sqrt),0.4885810351903921,62.58899157837894,0.6476053263722958,0.13495251592274904,0.3033806561111084,34.481318370350735,12059.423988036324
SVM (Linear Kernel),0.46584275819364146,60.93175356904288,0.5004015892557963,0.15811832976047047,0.3009834196771076,35.9423786684047,11736.474813292465
SVM (Linear/Gaussian),0.44910902977263106,61.09621948763221,0.5135288159355884,0.1421325259173969,0.30052541209784195,34.176745292731994,11959.329153524253
SVM (Log/Gaussian),0.42664478082601043,61.105739290747145,0.6134475800817827,0.12151045758105383,0.29634252219529766,31.310571495317305,12246.816569135315
SVM (Sqrt/Gaussian),0.43135562996213006,61.1068583862955,0.597254180290408,0.1291266677879087,0.2967407470923881,31.919363889275957,12140.640769821308
Random Forest (Linear),0.6126952513423345,72.47642346385626,0.7764723344190206,-0.013976123211010938,0.3913109554664751,42.46759919787873,14135.603199390325
Random Forest (Log),0.4890740861858039,65.20054291102285,0.6628864586252305,0.08525567523101407,0.3386786145527546,35.8347316730841,12752.23598252102
Random Forest (Sqrt),0.545290944432619,68.46546488739604,0.7171415090096004,0.04711560561877659,0.36045131627475774,39.00842848152503,13283.93774323745
