,State,Age Group,Peak,Adult respiratory distress syndrome,All other conditions and causes (residual),Alzheimer disease,Cardiac arrest,Cardiac arrhythmia,Cerebrovascular diseases,Chronic lower respiratory diseases,Diabetes,Heart failure,Hypertensive diseases,Influenza and pneumonia,"Intentional and unintentional injury, poisoning, and other adverse events",Ischemic heart disease,Malignant neoplasms,Obesity,Other diseases of the circulatory system,Other diseases of the respiratory system,Renal failure,Respiratory arrest,Respiratory failure,Sepsis,Vascular and unspecified dementia,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Tables Death Rate,Average Age of Death,Average Age,Population,LATITUDE,LONGITUDE
0,Alabama,0-24,First,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906.0,0.0,0.0,0.0,0.0,0.007436140370846259,105.55647457498925,109.99716691177092,13812489,297.072873,-780.8114340000002
2,Alabama,25-34,First,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994.0,11.0,0.0,0.0,25.0,0.016150756145361808,267.87135024892916,264.50817908179397,5779683,297.072873,-780.8114340000002
4,Alabama,35-44,First,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,1590.0,71.0,0.0,0.0,123.0,0.027695144782774156,358.5327541994399,355.0232493472142,5308020,297.072873,-780.8114340000002
6,Alabama,45-54,First,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,213.0,3004.0,175.0,39.0,0.0,352.0,0.0513294091913849,451.5178513684783,445.97436285002414,5537511,297.072873,-780.8114340000002
8,Alabama,55-64,First,10.0,161.0,0.0,93.0,0.0,0.0,14.0,54.0,0.0,43.0,140.0,0.0,10.0,0.0,0.0,10.0,0.0,28.0,39.0,180.0,55.0,0.0,496.0,6865.0,539.0,140.0,23.0,924.0,0.11121694687753914,540.0984071152103,534.9096043908914,5917887,297.072873,-780.8114340000002
10,Alabama,65-74,First,62.0,316.0,0.0,124.0,25.0,10.0,56.0,115.0,27.0,101.0,291.0,0.0,67.0,10.0,0.0,12.0,10.0,99.0,41.0,348.0,133.0,10.0,888.0,9880.0,854.0,304.0,23.0,1473.0,0.220310191065073,627.5462664678093,622.2032557777792,4513023,297.072873,-780.8114340000002
12,Alabama,75-84,First,39.0,291.0,37.0,106.0,49.0,13.0,61.0,95.0,47.0,87.0,316.0,0.0,81.0,12.0,0.0,34.0,0.0,88.0,50.0,385.0,103.0,107.0,966.0,11383.0,976.0,335.0,0.0,1629.0,0.541578622162342,716.3204118287197,709.0763567415621,2311623,297.072873,-780.8114340000002
14,Alabama,85+,First,0.0,262.0,55.0,74.0,42.0,38.0,50.0,64.0,70.0,118.0,271.0,0.0,97.0,0.0,0.0,24.0,0.0,52.0,33.0,260.0,23.0,171.0,917.0,10884.0,786.0,279.0,0.0,1430.0,0.9042118191719055,765.0,765.0,823887,297.072873,-780.8114340000002
18,Alaska,0-24,First,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.006879255718959029,98.73394861207797,104.33368047631892,2169135,552.598938,-1339.865757
20,Alaska,25-34,First,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,0.0,0.014652292407117781,269.16422966645433,265.39082161361955,984879,552.598938,-1339.865757
22,Alaska,35-44,First,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,0.0,0.0,0.0,0.01964842868037522,354.4898989030859,353.22052976545143,830745,552.598938,-1339.865757
24,Alaska,45-54,First,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,0.0,0.0,0.0,0.0,0.04068985674530268,452.8944526549683,446.27158228672215,760311,552.598938,-1339.865757
26,Alaska,55-64,First,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597.0,0.0,0.0,0.0,0.0,0.07335429894737899,540.2292418101065,534.7103198422227,839664,552.598938,-1339.865757
28,Alaska,65-74,First,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761.0,0.0,0.0,0.0,11.0,0.1573293744586408,625.7303619062649,619.8703752039153,551700,552.598938,-1339.865757
30,Alaska,75-84,First,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730.0,0.0,0.0,0.0,0.0,0.4584483414888383,715.1366089323411,706.6034102220107,207963,552.598938,-1339.865757
32,Alaska,85+,First,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,638.0,0.0,0.0,0.0,0.0,0.8167207092046738,765.0,765.0,64629,552.598938,-1339.865757
36,Arizona,0-24,First,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1292.0,0.0,0.0,0.0,11.0,0.006159414149879012,110.97224815001177,110.96650317949036,20941092,300.314394,-1006.7787900000002
38,Arizona,25-34,First,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,71.0,1624.0,58.0,31.0,0.0,107.0,0.013277041388209912,266.7332965235569,264.52964735009704,8993367,300.314394,-1006.7787900000002
40,Arizona,35-44,First,15.0,39.0,0.0,11.0,0.0,0.0,0.0,13.0,0.0,0.0,69.0,0.0,0.0,0.0,35.0,0.0,10.0,0.0,0.0,46.0,0.0,0.0,172.0,1997.0,105.0,71.0,0.0,218.0,0.017626708815805612,356.9834683823941,354.5840541948932,8031015,300.314394,-1006.7787900000002
