,State,Age Group,Peak,Adult respiratory distress syndrome,All other conditions and causes (residual),Alzheimer disease,Cardiac arrest,Cardiac arrhythmia,Cerebrovascular diseases,Chronic lower respiratory diseases,Diabetes,Heart failure,Hypertensive diseases,Influenza and pneumonia,"Intentional and unintentional injury, poisoning, and other adverse events",Ischemic heart disease,Malignant neoplasms,Obesity,Other diseases of the circulatory system,Other diseases of the respiratory system,Renal failure,Respiratory arrest,Respiratory failure,Sepsis,Vascular and unspecified dementia,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Tables Death Rate,Average Age of Death,Average Age,Population,LATITUDE,LONGITUDE
1,Alabama,0-24,Second,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.0,0.0,0.0,0.0,0.0,0.005783664732880424,82.09948022499164,85.5533520424885,10743047,231.05667899999997,-607.2977820000001
3,Alabama,25-34,Second,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,835.0,0.0,0.0,0.0,34.0,0.012561699224170296,208.3443835269449,205.72858373028419,4495309,231.05667899999997,-607.2977820000001
5,Alabama,35-44,Second,0.0,21.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,124.0,1329.0,35.0,18.0,0.0,161.0,0.021540668164379898,278.85880882178657,276.1291939367222,4128460,231.05667899999997,-607.2977820000001
7,Alabama,45-54,Second,15.0,106.0,0.0,36.0,0.0,0.0,0.0,32.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,14.0,0.0,11.0,10.0,155.0,33.0,0.0,368.0,2521.0,221.0,116.0,0.0,459.0,0.03992287381552159,351.180551064372,346.8689488833521,4306953,231.05667899999997,-607.2977820000001
9,Alabama,55-64,Second,49.0,374.0,0.0,176.0,21.0,10.0,35.0,114.0,34.0,70.0,324.0,0.0,56.0,32.0,30.0,35.0,18.0,97.0,79.0,417.0,122.0,0.0,967.0,5882.0,566.0,338.0,0.0,1201.0,0.08650206979364156,420.0765388673858,416.0408034151378,4602801,231.05667899999997,-607.2977820000001
11,Alabama,65-74,Second,120.0,680.0,0.0,305.0,92.0,74.0,146.0,210.0,75.0,180.0,623.0,0.0,154.0,70.0,27.0,118.0,74.0,224.0,166.0,772.0,238.0,27.0,1857.0,9313.0,1130.0,662.0,0.0,2329.0,0.1713523708283901,488.0915405860739,483.9358656049393,3510129,231.05667899999997,-607.2977820000001
13,Alabama,75-84,Second,85.0,677.0,12.0,298.0,170.0,59.0,162.0,204.0,140.0,180.0,721.0,14.0,194.0,56.0,11.0,127.0,57.0,241.0,134.0,889.0,222.0,114.0,2087.0,10562.0,1223.0,767.0,0.0,2548.0,0.4212278172373771,557.1380980890042,551.503833021215,1797929,231.05667899999997,-607.2977820000001
15,Alabama,85+,Second,0.0,452.0,54.0,185.0,107.0,57.0,92.0,64.0,128.0,157.0,447.0,10.0,125.0,26.0,0.0,79.0,30.0,93.0,105.0,514.0,64.0,169.0,1526.0,9504.0,838.0,478.0,0.0,1888.0,0.7032758593559265,595.0,595.0,640801,231.05667899999997,-607.2977820000001
19,Alaska,0-24,Second,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.005350532225857023,76.79307114272731,81.14841814824804,1687105,429.799174,-1042.117811
21,Alaska,25-34,Second,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.011396227427758275,209.34995640724225,206.41508347725966,766017,429.799174,-1042.117811
23,Alaska,35-44,Second,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.015282111195847391,275.7143658135112,274.72707870646224,646135,429.799174,-1042.117811
25,Alaska,45-54,Second,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,0.0,0.0,0.0,0.0,0.03164766635745764,352.2512409538642,347.10011955633945,591353,429.799174,-1042.117811
