,Adult respiratory distress syndrome,All other conditions and causes (residual),Alzheimer disease,Cardiac arrest,Cardiac arrhythmia,Cerebrovascular diseases,Chronic lower respiratory diseases,Diabetes,Heart failure,Hypertensive diseases,Influenza and pneumonia,"Intentional and unintentional injury, poisoning, and other adverse events",Ischemic heart disease,Malignant neoplasms,Obesity,Other diseases of the circulatory system,Other diseases of the respiratory system,Renal failure,Respiratory arrest,Respiratory failure,Sepsis,Vascular and unspecified dementia,COVID-19 Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Tables Death Rate,Average Age of Death,Average Age,LATITUDE,LONGITUDE
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007436140370846259,105.55647457498925,109.99716691177092,297.072873,-780.8114340000002
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011066398390342052,0.0,0.0,0.025150905432595575,0.016150756145361808,267.87135024892916,264.50817908179397,297.072873,-780.8114340000002
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03962264150943396,0.04465408805031446,0.0,0.0,0.07735849056603773,0.027695144782774156,358.5327541994399,355.0232493472142,297.072873,-780.8114340000002
6,0.0,0.02230359520639148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012649800266311585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02663115845539281,0.0,0.0,0.07090545938748335,0.05825565912117177,0.012982689747003996,0.0,0.11717709720372836,0.0513294091913849,451.5178513684783,445.97436285002414,297.072873,-780.8114340000002
8,0.0014566642388929353,0.023452294246176255,0.0,0.013546977421704296,0.0,0.0,0.002039329934450109,0.00786598689002185,0.0,0.0062636562272396215,0.02039329934450109,0.0,0.0014566642388929353,0.0,0.0,0.0014566642388929353,0.0,0.004078659868900218,0.0056809905316824475,0.026219956300072834,0.008011653313911144,0.0,0.07225054624908958,0.0785142024763292,0.02039329934450109,0.003350327749453751,0.1345957756737072,0.11121694687753914,540.0984071152103,534.9096043908914,297.072873,-780.8114340000002
10,0.006275303643724696,0.031983805668016195,0.0,0.012550607287449392,0.0025303643724696357,0.0010121457489878543,0.005668016194331984,0.011639676113360324,0.0027327935222672063,0.010222672064777328,0.02945344129554656,0.0,0.006781376518218624,0.0010121457489878543,0.0,0.0012145748987854252,0.0010121457489878543,0.010020242914979757,0.004149797570850202,0.035222672064777326,0.013461538461538462,0.0010121457489878543,0.08987854251012145,0.08643724696356275,0.03076923076923077,0.002327935222672065,0.14908906882591094,0.220310191065073,627.5462664678093,622.2032557777792,297.072873,-780.8114340000002
12,0.0034261618202582798,0.02556443819731178,0.0032504612140911884,0.009312132126855837,0.004304664851093736,0.0011420539400860933,0.005358868488096284,0.008345778792936836,0.004128964244926645,0.0076429763682684705,0.02776069577440042,0.0,0.0071158745497671965,0.0010542036370025476,0.0,0.002986910304840552,0.0,0.007730826671352016,0.004392515154177282,0.03382236668716507,0.009048581217605201,0.009399982429939384,0.08486339277870508,0.08574189580954054,0.02942985153298779,0.0,0.14310814372309585,0.541578622162342,716.3204118287197,709.0763567415621,297.072873,-780.8114340000002
14,0.0,0.024072032341051083,0.005053289231900036,0.006798970966556413,0.003858875413450937,0.0034913634693127527,0.004593899301727306,0.005880191106210952,0.006431459022418228,0.010841602352076443,0.024898934215362,0.0,0.008912164645350974,0.0,0.0,0.002205071664829107,0.0,0.004777655273796398,0.003031973539140022,0.02388827636898199,0.0021131936787945607,0.015711135611907387,0.0842521131936788,0.07221609702315325,0.025633958103638367,0.0,0.13138552002940096,0.9042118191719055,765.0,765.0,297.072873,-780.8114340000002
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006879255718959029,98.73394861207797,104.33368047631892,552.598938,-1339.865757
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014652292407117781,269.16422966645433,265.39082161361955,552.598938,-1339.865757
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01964842868037522,354.4898989030859,353.22052976545143,552.598938,-1339.865757
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04068985674530268,452.8944526549683,446.27158228672215,552.598938,-1339.865757
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07335429894737899,540.2292418101065,534.7103198422227,552.598938,-1339.865757
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01445466491458607,0.1573293744586408,625.7303619062649,619.8703752039153,552.598938,-1339.865757
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4584483414888383,715.1366089323411,706.6034102220107,552.598938,-1339.865757
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8167207092046738,765.0,765.0,552.598938,-1339.865757
