,Adult respiratory distress syndrome,All other conditions and causes (residual),Alzheimer disease,Cardiac arrest,Cardiac arrhythmia,Cerebrovascular diseases,Chronic lower respiratory diseases,Diabetes,Heart failure,Hypertensive diseases,Influenza and pneumonia,"Intentional and unintentional injury, poisoning, and other adverse events",Ischemic heart disease,Malignant neoplasms,Obesity,Other diseases of the circulatory system,Other diseases of the respiratory system,Renal failure,Respiratory arrest,Respiratory failure,Sepsis,Vascular and unspecified dementia,COVID-19 Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Tables Death Rate,Average Age of Death,Average Age,LATITUDE,LONGITUDE
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008262378189829177,11.728497174998806,12.221907434641214,33.008097,-86.75682600000002
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011976047904191617,0.0,0.0,0.0,0.0407185628742515,0.0017945284605957565,29.76348336099213,29.389797675754885,33.008097,-86.75682600000002
5,0.0,0.01580135440180587,0.0,0.010534236267870579,0.0,0.0,0.0,0.0,0.0,0.0,0.013544018058690745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018811136192626036,0.0,0.0,0.09330323551542513,0.02633559066967645,0.013544018058690745,0.0,0.12114371708051166,0.0030772383091971283,39.836972688826656,39.44702770524602,33.008097,-86.75682600000002
7,0.005950019833399445,0.04204680682268941,0.0,0.014280047600158666,0.0,0.0,0.0,0.012693375644585482,0.0,0.0,0.044426814756049184,0.0,0.0,0.0,0.0,0.005553351844506148,0.0,0.00436334787782626,0.003966679888932963,0.061483538278460925,0.013090043633478779,0.0,0.14597381991273303,0.08766362554541848,0.04601348671162237,0.0,0.182070606902023,0.005703267687931656,50.16865015205315,49.552706983336016,33.008097,-86.75682600000002
9,0.008330499829989799,0.06358381502890173,0.0,0.029921795307718463,0.0035702142128527714,0.0017001020061203672,0.005950357021421286,0.019381162869772185,0.005780346820809248,0.011900714042842571,0.0550833049982999,0.0,0.009520571234274057,0.005440326419585175,0.0051003060183611015,0.005950357021421286,0.003060183611016661,0.016490989459367562,0.0134308058483509,0.07089425365521931,0.02074124447466848,0.0,0.1643998639918395,0.09622577354641279,0.05746344780686841,0.0,0.2041822509350561,0.012357438541948793,60.01093412391226,59.43440048787683,33.008097,-86.75682600000002
11,0.012885214216686352,0.073016213894556,0.0,0.03274991946741115,0.00987866423279287,0.007945882100289917,0.01567701063030173,0.02254912487920112,0.00805325888542897,0.01932782132502953,0.06689573714162998,0.0,0.016536024911414152,0.007516374959733706,0.0028991731987544293,0.012670460646408246,0.007945882100289917,0.024052399871147857,0.017824546333082787,0.08289487812734887,0.0255556748630946,0.0028991731987544293,0.1993986900032213,0.12133576720712982,0.07108343176205305,0.0,0.25008053258885427,0.024478910118341444,69.7273629408677,69.1336950864199,33.008097,-86.75682600000002
13,0.00804771823518273,0.06409770876727892,0.0011361484567316796,0.028214353342170043,0.01609543647036546,0.005586063245597425,0.015338004165877675,0.019314523764438554,0.013255065328536262,0.017042226850975194,0.06826358644196175,0.0013255065328536262,0.01836773338382882,0.005302026131414505,0.0010414694186707063,0.012024237833743609,0.005396705169475478,0.022817648172694566,0.012686991100170422,0.08416966483620526,0.021018746449536073,0.010793410338950956,0.19759515243325126,0.11579246354857034,0.07261882219276652,0.0,0.24124218897935998,0.060175402462482444,79.59115686985774,78.78626186017357,33.008097,-86.75682600000002
15,0.0,0.04755892255892256,0.005681818181818182,0.019465488215488217,0.01125841750841751,0.005997474747474747,0.00968013468013468,0.006734006734006734,0.013468013468013467,0.01651936026936027,0.04703282828282828,0.0010521885521885522,0.013152356902356903,0.002735690235690236,0.0,0.008312289562289563,0.0031565656565656565,0.009785353535353536,0.011047979797979798,0.05408249158249158,0.006734006734006734,0.01778198653198653,0.16056397306397308,0.08817340067340067,0.050294612794612795,0.0,0.19865319865319866,0.1004679799079895,85.0,85.0,33.008097,-86.75682600000002
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007643617465510033,10.97043873467533,11.592631164035435,61.399882,-148.873973
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016280324896797535,29.907136629606036,29.48786906817995,61.399882,-148.873973
