,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,coded_geo,price
0,2,3,1.53,1,83,0,1,0,0,0,0,1,0,148.85714285714286,85
1,45,1,0.48,1,56,0,0,1,0,0,1,0,0,108.5,150
2,3,15,1.34,1,280,0,0,1,0,0,0,1,0,101.78571428571429,74
3,5,1,0.02,1,0,0,0,1,0,0,0,1,0,221.16666666666666,95
4,3,141,3.29,5,226,0,0,1,0,0,0,1,0,200.8,125
5,2,23,0.51,1,0,0,1,0,0,0,0,1,0,233.83333333333334,78
6,1,0,0.0,1,0,0,0,1,0,0,1,0,0,224.55555555555554,235
7,2,2,0.22,7,312,0,0,0,0,1,0,0,1,204.625,150
8,4,79,0.74,1,307,0,0,1,0,0,0,1,0,111.0,156
9,2,14,1.22,1,0,0,1,0,0,0,0,1,0,158.33333333333334,50
10,1,40,0.85,2,86,0,0,0,0,1,0,1,0,81.66666666666667,129
11,2,4,4.0,2,296,0,1,0,0,0,1,0,0,194.10526315789474,135
12,1,13,5.91,1,171,0,1,0,0,0,1,0,0,240.76923076923077,190
13,3,42,1.46,1,0,0,1,0,0,0,1,0,0,60.0,206
14,7,16,1.42,3,287,0,1,0,0,0,0,1,0,229.44444444444446,65
15,3,23,0.4,1,88,0,0,0,1,0,0,1,0,299.35483870967744,79
16,2,26,0.82,1,0,0,0,1,0,0,1,0,0,141.07947981342477,110
17,15,0,0.0,3,0,0,0,0,1,0,0,1,0,110.0,50
18,4,28,0.4,1,280,0,0,1,0,0,1,0,0,223.33333333333334,180
19,30,2,0.07,121,365,0,0,1,0,0,1,0,0,158.33333333333334,239
20,5,9,0.33,1,0,0,0,1,0,0,1,0,0,174.89473684210526,225
21,2,9,0.93,1,15,0,1,0,0,0,1,0,0,167.27272727272728,110
22,1,2,0.22,1,362,1,0,0,0,0,0,1,0,116.625,90
23,30,67,1.31,4,252,0,1,0,0,0,0,1,0,343.44444444444446,65
24,2,52,1.04,3,0,0,0,1,0,0,0,1,0,302.5,75
25,4,2,0.04,1,0,0,0,1,0,0,1,0,0,229.77777777777777,225
26,1,1,0.02,1,0,0,0,1,0,0,1,0,0,88.33333333333333,115
